,Bootstrap_nr,Current_position,Salary,Actual_hrs,Effort,Policy_influence,Performance_pressure,Teaching_percent,Research_percent,Academic_Resources,Perceived_Autonomy,Leadership_quality,Sense_of_community,Contract_duration_2.0,Contract_duration_3.0,Leadership_position_2.0,Leadership_position_3.0,Job_satisfaction,DoF,DoF Baseline,chi2,chi2 p-value,chi2 Baseline,CFI,GFI,AGFI,NFI,TLI,RMSEA,AIC,BIC,LogLik
47,15,Current_position_6.0,0.286265141,0.047097884,-0.002138601,0.020522024,0.032660548,0.01535086,-0.014664841,0.235310679,0.114876046,-0.034899361,0.007678266,0.014331478,-0.001154018,0.03690537,0.014502747,-0.049268232,111,174,2135.473654,0,3897.940167,0.456362465,0.452153301,0.141213282,0.452153301,0.147811431,0.168418226,151.3680942,504.3162936,3.31595288
48,16,Current_position_4.0,0.047112221,0.001546959,0.004970257,0.001349216,0.023949906,0.011170951,-0.002764302,0.047944101,0.008141141,-0.005226882,0.001174189,-0.001512889,-0.005283627,0.013368642,0.009107743,-0.08451624,111,174,2032.115992,0,3905.207018,0.485122111,0.479639368,0.18429955,0.479639368,0.192894121,0.164062686,151.6890808,504.6372801,3.155459614
49,16,Current_position_5.0,0.155924055,0.008437744,-0.003691456,0.003683693,0.041676414,0.031737919,-0.008578778,0.091815511,0.010258347,-0.01463175,0.006732348,-0.003507381,-0.010387336,0.051921461,0.021076807,-0.114607317,111,174,2032.115992,0,3905.207018,0.485122111,0.479639368,0.18429955,0.479639368,0.192894121,0.164062686,151.6890808,504.6372801,3.155459614
50,16,Current_position_6.0,0.217662202,0.005173201,0.009648999,0.006798015,0.031409479,0.04043686,-0.004666558,0.290661231,0.135930782,0.005529116,0.037032081,-0.002799684,-0.010387122,0.068678135,0.011153,0.102396173,111,174,2032.115992,0,3905.207018,0.485122111,0.479639368,0.18429955,0.479639368,0.192894121,0.164062686,151.6890808,504.6372801,3.155459614
51,17,Current_position_4.0,0.084231759,0.003337388,0.004104827,0.028190696,-0.009809962,6.73E-05,0.000834662,0.075676087,0.019382479,-0.001719151,0.007572785,-0.004059115,-0.006755254,0.01162301,-0.003461788,-0.027924849,111,174,1919.456755,0,3864.939769,0.510028104,0.503366968,0.221494166,0.503366968,0.231935947,0.159179482,152.0389542,504.9871535,2.980522912
52,17,Current_position_5.0,0.211348028,0.005431534,0.003546044,0.049502265,-0.012376638,0.002816093,-0.015333395,0.151196592,0.042873494,-0.002056837,0.007503634,-0.008350846,-0.009677943,0.019097809,-0.014063588,0.061965895,111,174,1919.456755,0,3864.939769,0.510028104,0.503366968,0.221494166,0.503366968,0.231935947,0.159179482,152.0389542,504.9871535,2.980522912
53,17,Current_position_6.0,0.331365114,0.004736529,0.005468374,0.059909428,-0.018171391,0.004938827,-0.03515447,0.404044107,0.147275393,0.007219974,0.031489006,-0.008886051,-0.011277601,0.02209993,-0.006273575,0.110700344,111,174,1919.456755,0,3864.939769,0.510028104,0.503366968,0.221494166,0.503366968,0.231935947,0.159179482,152.0389542,504.9871535,2.980522912
54,18,Current_position_4.0,0.05299061,-0.000699358,0.007764752,-0.017152592,0.003992398,0.008235649,0.018255076,0.0449071,-0.001702183,-0.014357165,-0.012580067,-0.006252235,0.003057144,0.012709447,0.003686286,0.071784822,111,174,1889.731712,0,3642.471558,0.487171314,0.481195204,0.186738428,0.481195204,0.196106384,0.15786587,152.131268,505.0794673,2.934366013
55,18,Current_position_5.0,0.2206821,-0.002486107,0.012072696,-0.038661306,0.003959473,0.029257065,0.002796021,0.091509889,0.008846938,-0.018259015,-0.015217243,-0.013839437,0.005449612,0.032444368,0.006578527,0.117721659,111,174,1889.731712,0,3642.471558,0.487171314,0.481195204,0.186738428,0.481195204,0.196106384,0.15786587,152.131268,505.0794673,2.934366013
56,18,Current_position_6.0,0.338822228,-0.002341279,0.01697849,-0.060487247,0.004873092,0.038621115,-0.002947331,0.221416442,0.128761893,0.017834917,0.007513673,-0.010821148,0.005449695,0.047024363,0.007354579,0.081613521,111,174,1889.731712,0,3642.471558,0.487171314,0.481195204,0.186738428,0.481195204,0.196106384,0.15786587,152.131268,505.0794673,2.934366013
57,19,Current_position_4.0,0.059710523,0.006514853,-0.001420382,0.00194565,0.016844048,-0.000721639,0.002298339,0.092201036,0.006001676,-0.001971185,0.015973246,0.018225955,-0.004464263,0.010976212,-0.001575026,0.061799992,111,174,1995.329753,0,3778.834015,0.477276972,0.47197211,0.172280604,0.47197211,0.180596334,0.162484327,151.8033237,504.7515231,3.098338125
58,19,Current_position_5.0,0.17602302,0.018123356,-0.001273799,0.003937761,0.027396965,-0.003917054,-0.013525949,0.07138922,0.013861672,-0.028803512,0.009400498,0.032941322,-0.004481004,0.015939274,-0.003958377,0.071840727,111,174,1995.329753,0,3778.834015,0.477276972,0.47197211,0.172280604,0.47197211,0.180596334,0.162484327,151.8033237,504.7515231,3.098338125
59,19,Current_position_6.0,0.218961871,0.018705194,-0.000675385,0.005333622,0.020922828,-0.006076899,-0.016522444,0.178442423,0.078975138,-0.036041523,0.020781694,0.022527728,-0.006289874,0.029627839,-0.003132765,0.106993353,111,174,1995.329753,0,3778.834015,0.477276972,0.47197211,0.172280604,0.47197211,0.180596334,0.162484327,151.8033237,504.7515231,3.098338125
60,20,Current_position_4.0,0.095900128,0.006837884,0.001648078,0.008799499,0.014683334,0.00162574,0.001451098,0.077084446,0.031749994,0.011084554,0.004494858,0.00395886,0.00295077,0.00305406,-0.002242383,-0.099102705,111,174,1836.253384,0,3640.17252,0.502259806,0.495558693,0.209254167,0.495558693,0.219758614,0.155474607,152.2973497,505.2455491,2.85132513
61,20,Current_position_5.0,0.267700936,0.017037417,0.000634807,0.01940113,0.019287555,0.004534568,-0.011374067,0.081935311,0.000568119,-0.020224504,-0.006930505,0.012331318,0.004587679,0.010237923,-0.004648433,-0.082573013,111,174,1836.253384,0,3640.17252,0.502259806,0.495558693,0.209254167,0.495558693,0.219758614,0.155474607,152.2973497,505.2455491,2.85132513
62,20,Current_position_6.0,0.40127172,0.025343975,0.001220853,0.03147745,0.021296401,0.007114243,-0.012444789,0.285337525,0.133061076,0.01271911,0.016626979,0.011436335,4.50E-08,0.027815743,-0.003073123,-0.195651126,111,174,1836.253384,0,3640.17252,0.502259806,0.495558693,0.209254167,0.495558693,0.219758614,0.155474607,152.2973497,505.2455491,2.85132513
63,21,Current_position_4.0,0.073180172,0.000159335,0.001542526,0.006066194,0.009727937,0.001986713,0.001370118,0.090465553,-0.012112062,-0.018271625,-0.005021626,-0.028394306,-0.004251081,0.008733484,-0.002454456,-0.011306078,111,174,1988.152655,0,3724.467602,0.471294245,0.466191449,0.163219028,0.466191449,0.171218005,0.162174594,151.8256129,504.7738122,3.087193563
64,21,Current_position_5.0,0.209791814,0.003770012,0.000687581,0.014886015,0.015051309,0.010990448,-0.00450364,0.048021821,-0.032804627,-0.026533311,-0.012198111,-0.05091588,-0.007875827,0.019725508,-0.006730247,0.099064176,111,174,1988.152655,0,3724.467602,0.471294245,0.466191449,0.163219028,0.466191449,0.171218005,0.162174594,151.8256129,504.7738122,3.087193563
65,21,Current_position_6.0,0.283865097,0.002011447,0.002931705,0.028752766,0.015463436,0.012924249,-0.003055902,0.214391835,0.04904632,-0.015630766,-0.007005758,-0.042722751,-0.007875828,0.023622647,-0.001657192,0.187327999,111,174,1988.152655,0,3724.467602,0.471294245,0.466191449,0.163219028,0.466191449,0.171218005,0.162174594,151.8256129,504.7738122,3.087193563
